FleetCode,GearGrpCode,ReDate,Lat,Lon
EU.ESP,TROL,2012-07-12,43.64883333,-1.983333333
EU.ESP,TROL,2012-07-02,43.5205,-1.948333333
EU.ESP,RRFB,2016-05-14,41.634,2.906
EU.ITA,RRFB,2011-08-26,42.95,14.28361
EU.ESP,SPOR,2011-08-15,40.83333333,0.9
EU.ESP,SPOR,2011-06-04,40.81666667,1.35
EU.ESP,SPOR,2010-07-04,40.35,2.85
EU.ESP,TROL,2009-08-11,43.55,-2.38
EU.ESP,TROL,2010-06-23,43.5,-1.95
EU.ESP,TROL,2010-06-23,43.5,-1.967
EU.ESP,TROL,2010-06-23,43.48,-1.967
EU.ESP,TROL,2010-06-23,43.46,-1.967
EU.ESP,TROL,2010-06-23,43.48,-1.98
EU.ESP,TROL,2010-06-23,43.48,-1.967
EU.ESP,TROL,2011-07-16,43.61666667,-1.95
EU.ESP,SPOR,2011-08-09,40.86666667,0.95
EU.ESP,SPOR,2009-10-25,38.33333333,-0.266666667
EU.ESP,SPOR,2009-10-25,38.26666667,-0.15
EU.ESP,SPOR,2009-10-25,38.26666667,-0.15
EU.ESP,SPOR,2009-10-25,38.35,-0.183333333
EU.ESP,SPOR,2010-11-20,40.85,0.85
EU.ESP,SPOR,2011-06-11,40.85,0.85
EU.ESP,SPOR,2009-10-25,38.35,-0.183333333
EU.ESP,SPOR,2009-11-01,38.33333333,-0.266666667
EU.ESP,SPOR,2009-10-25,38.23333333,-0.133333333
EU.ESP,SPOR,2009-11-22,38.4,-0.083333333
EU.ESP,SPOR,2009-11-22,38.4,-0.083333333
EU.ESP,SPOR,2009-11-22,38.45,-0.083333333
EU.ESP,SPOR,2009-11-22,38.45,-0.1
EU.ESP,UNCL,2008-08-31,42.15,3.616666667
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-09-01,42.08333333,3.983333333
EU.ESP,SPOR,2010-07-20,39.95,2.716666667
EU.ESP,SPOR,2010-07-20,39.98333333,2.866666667
EU.ESP,SPOR,2010-07-20,39.98333333,2.866666667
EU.ESP,SPOR,2010-07-20,39.98333333,2.866666667
EU.ESP,TROL,2011-09-18,43.5,-3.116
